Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,
Fungal infection,itching, skin_rash, dischromic _patches,,,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,
Fungal infection,itching, skin_rash, dischromic _patches,,,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,
Gastroenteritis, vomiting, sunken_eyes, dehydration,,,,,
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain
Malaria, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,
Malaria, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,
Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain,
Malaria, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain,
Malaria, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain,
Malaria, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain,
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,
Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever
Chicken pox, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes
