model,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
modelapp.communicable_diseases,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,
modelapp.communicable_diseases,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,
modelapp.communicable_diseases,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,
modelapp.communicable_diseases,Fungal infection,itching, skin_rash, dischromic _patches,,,,,
modelapp.communicable_diseases,Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,
modelapp.communicable_diseases,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,
modelapp.communicable_diseases,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,
modelapp.communicable_diseases,Fungal infection,itching, skin_rash, dischromic _patches,,,,,
modelapp.communicable_diseases,Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,
modelapp.communicable_diseases,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,
modelapp.communicable_diseases,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,
modelapp.communicable_diseases,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,
modelapp.communicable_diseases,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,
modelapp.communicable_diseases,Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,
modelapp.communicable_diseases,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,
modelapp.communicable_diseases,Gastroenteritis, vomiting, sunken_eyes, dehydration,,,,,
modelapp.communicable_diseases,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,
modelapp.communicable_diseases,Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,
modelapp.communicable_diseases,Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,
modelapp.communicable_diseases,Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,
modelapp.communicable_diseases,Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,
modelapp.communicable_diseases,Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain
modelapp.communicable_diseases,Malaria, chills, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain
modelapp.communicable_diseases,Malaria, vomiting, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,
modelapp.communicable_diseases,Malaria, chills, high_fever, sweating, headache, nausea, diarrhoea, muscle_pain,
modelapp.communicable_diseases,Malaria, chills, vomiting, sweating, headache, nausea, diarrhoea, muscle_pain,
modelapp.communicable_diseases,Malaria, chills, vomiting, high_fever, headache, nausea, diarrhoea, muscle_pain,
modelapp.communicable_diseases,Malaria, chills, vomiting, high_fever, sweating, nausea, diarrhoea, muscle_pain,
modelapp.communicable_diseases,Malaria, chills, vomiting, high_fever, sweating, headache, diarrhoea, muscle_pain,
modelapp.communicable_diseases,Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,
modelapp.communicable_diseases,Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever
modelapp.communicable_diseases,Chicken pox, skin_rash, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes
modelapp.communicable_diseases,Chicken pox,itching, fatigue, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes
modelapp.communicable_diseases,Chicken pox,itching, skin_rash, lethargy, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes
modelapp.communicable_diseases,Chicken pox,itching, skin_rash, fatigue, high_fever, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes
modelapp.communicable_diseases,Chicken pox,itching, skin_rash, fatigue, lethargy, headache, loss_of_appetite, mild_fever, swelled_lymph_nodes
modelapp.communicable_diseases,Chicken pox,itching, skin_rash, fatigue, lethargy, high_fever, loss_of_appetite, mild_fever, swelled_lymph_nodes
